acts,prompt,response,Word count,Grammar,Fluency,Clarity,Engagement,Overall Score,AI Similarity,Sources Found,Overall Plagiarism Score
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Museums to visit in Beyoğlu (Istanbul) — museums only

Quick note: check each museum’s official site for current hours and ticketing.

Top picks (start here)
- Pera Museum (Beyoğlu) — Modern and Orientalist painting, rotating exhibitions; central on İstiklal. (screenshot)  
- Museum of Innocence (Çukurcuma, Beyoğlu) — Novel-themed museum by Orhan Pamuk; intimate, narrative-driven displays.  
- Doğançay Museum (Çukurcuma) — Small modern art museum focused on Burhan Doğançay’s work; good for a short visit.  
- SALT Galata (Galata) — Exhibitions, archives and research displays on contemporary art and culture.  
- Galata Mevlevihanesi Museum (Galata) — Historical Sufi lodge with artifacts and short exhibits.  
- Istanbul Modern (Karaköy, ~10–20 min walk) — Contemporary Turkish & international art; larger temporary shows.

Other nearby museum options (same vibe / short transit)
- Pera’s temporary-show neighbors and small galleries on İstiklal / Çukurcuma (multiple small private museums).  
- Museum of Turkish Jews (near Galata) — cultural history exhibits.  
- Madame Tussauds (Taksim/İstiklal) — wax museum, tourist-oriented.

Practical tips
- Best order for a half‑day: Pera → Museum of Innocence → Doğançay → SALT Galata → short walk to Karaköy for Istanbul Modern.  
- Walking times: most Beyoğlu museums are within 5–25 minutes of each other on foot; Karaköy (Istanbul Modern) ≈ 10–20 min from İstiklal end.  
- Buy timed tickets or reserve in advance for popular spots (Museum of Innocence, Istanbul Modern).  
- Allow 45–90 minutes per museum depending on interest; larger shows (Istanbul Modern) may take 2+ hours.  
- Combine with a coffee/tea stop in Çukurcuma or Galata between visits.  

If you want, tell me how much time you have (2 hrs / half‑day / full day) and I’ll give a timed walking route and exact museums to prioritize.",253,86,47,79,87,72,0%,0,0%
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Museums in Beyoğlu — itinerary (museums only)

Quick note: check each museum’s website for current hours and ticketing; many small museums close on Monday.

Top picks (walkable cluster)
- Pera Museum (İstiklal) — Orientalist & modern art, strong temporary shows.  
- Museum of Innocence (Çukurcuma) — Literary/curatorial experience based on Orhan Pamuk’s novel.  
- Doğançay Museum (Çukurcuma) — Small museum dedicated to Burhan Doğançay’s work.  
- SALT Galata (near Karaköy end of İstiklal) — Contemporary exhibitions + research library.  
- Galata Mevlevihanesi Museum (Galata) — Historical Mevlevi lodge with artifacts.  
- Museum of Turkish Jews (Galata) — Community history and exhibits.  
- Istanbul Modern (Karaköy) — Contemporary Turkish & international art (short walk from Galata).

Suggested timing
- Half‑day (3–4 hrs): Pera → Museum of Innocence → Doğançay (45–60 min each).  
- Full day (5–7 hrs): Add SALT Galata → Galata Mevlevihanesi → Istanbul Modern (allow 60–120 min at Istanbul Modern).

Walking logistics
- Most sites are 5–25 min on foot from İstiklal; Pera ↔ Çukurcuma ≈ 5–10 min; Çukurcuma ↔ Galata ≈ 15–20 min; Galata → Karaköy (Istanbul Modern) ≈ 10–15 min.

Practical tips
- Reserve timed tickets for popular museums (Istanbul Modern, Museum of Innocence).  
- Bring a city map or use offline map; wear comfortable shoes for cobbled streets.  
- Combine visits with coffee in Çukurcuma or a ferry ride from Karaköy if you extend the day.

Tell me how much time you have (2 hrs / half‑day / full day) and I’ll give a prioritized walking route with exact order and timings.",220,85,55,78,82,74,10%,0,0%
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Museums in Beyoğlu — museums only

Top picks (walkable cluster)
- Pera Museum — Orientalist & modern art, strong temporary shows (İstiklal).  
- Museum of Innocence — Orhan Pamuk’s novel museum, intimate narrative displays (Çukurcuma).  
- Doğançay Museum — Dedicated to Burhan Doğançay; small, focused modern art collection (Çukurcuma).  
- SALT Galata — Contemporary exhibitions, archives and research library (Galata).  
- Galata Mevlevihanesi Museum — Historical Mevlevi lodge with artifacts (Galata).  
- Museum of Turkish Jews — Community history and exhibitions (near Galata).  
- Istanbul Modern — Contemporary Turkish & international art (Karaköy; ~10–20 min walk).

Suggested itineraries
- 2–3 hours (half‑day): Pera Museum → Museum of Innocence (45–60 min each).  
- 4–6 hours (full day): Pera → Museum of Innocence → Doğançay → SALT Galata → Istanbul Modern (allow 60–120 min at Istanbul Modern).

Logistics & tips
- Walking: most Beyoğlu museums are within 5–25 minutes of each other; Galata ↔ Karaköy ≈ 10–15 min.  
- Tickets: reserve timed tickets for Museum of Innocence and Istanbul Modern when possible.  
- Hours: many small museums close Mon; verify current hours on official sites.  
- Accessibility: older buildings may have limited elevator access — check ahead if mobility is a concern.  
- Combine: plan a coffee break in Çukurcuma or a short ferry from Karaköy if extending the day.

Tell me how much time you have (2 hrs / half‑day / full day) and I’ll give a prioritized walking route with exact order and timings.",209,85,50,76,83,71,35%,0,0%
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Beyoğlu — Museums only (quick guide)

Check opening hours and buy timed tickets where available (many small museums closed Mondays).

Top picks (walkable cluster)
- Pera Museum (İstiklal) — Orientalist & modern art; strong temporary shows.  
- Museum of Innocence (Çukurcuma) — Orhan Pamuk’s novel museum; intimate, narrative displays.  
- Doğançay Museum (Çukurcuma) — Small, focused collection of Burhan Doğançay’s work.  
- SALT Galata (Galata) — Contemporary exhibitions + research library/archives.  
- Galata Mevlevihanesi Museum (Galata) — Historic Mevlevi lodge with artifacts.  
- Museum of Turkish Jews (near Galata) — Community history exhibits.  
- Istanbul Modern (Karaköy) — Contemporary Turkish & international art (short walk from Galata).

Suggested itineraries
- 2–3 hours (half‑day): Pera Museum → Museum of Innocence (45–60 min each).  
- 4–6 hours (full day): Pera → Museum of Innocence → Doğançay → SALT Galata → Istanbul Modern (allow 60–120 min at Istanbul Modern).

Practical logistics
- Walking times (approx): Pera ↔ Çukurcuma 5–10 min; Çukurcuma ↔ Galata 15–20 min; Galata → Karaköy (Istanbul Modern) 10–15 min.  
- Allow 45–90 minutes per small/mid museum; 60–150 minutes for larger museums.  
- Buy tickets in advance for Museum of Innocence and Istanbul Modern.  
- Accessibility: many historic buildings have limited elevator access — check ahead if mobility is a concern.  
- Combine with coffee in Çukurcuma or a Bosphorus ferry from Karaköy to extend the day.

If you tell me how much time you have (2 hrs / half‑day / full day), I’ll give a prioritized walking order with exact timings.",215,80,65,79,82,75,10%,0,0%
Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums.""","Beyoğlu — Museums only (concise guide)

Note: check official sites for current hours and ticketing; many small museums close Mondays.

Top museums (walkable cluster)
- Pera Museum (İstiklal) — Orientalist & modern art, strong temporary shows.  
- Museum of Innocence (Çukurcuma) — Novel‑based, narrative exhibits.  
- Doğançay Museum (Çukurcuma) — Single‑artist modern collection.  
- SALT Galata (Galata) — Contemporary exhibitions + archives.  
- Galata Mevlevihanesi Museum (Galata) — Historic Mevlevi lodge.  
- Museum of Turkish Jews (near Galata) — Community history.  
- Istanbul Modern (Karaköy) — Contemporary Turkish & international art (10–20 min walk).

Quick itineraries
- 2 hours: Pera Museum → Museum of Innocence (45–60 min each).  
- Half‑day (3–4 hrs): Pera → Museum of Innocence → Doğançay (add coffee break in Çukurcuma).  
- Full day (5–7 hrs): Pera → Museum of Innocence → Doğançay → SALT Galata → Istanbul Modern (allow 60–120 min at Istanbul Modern).

Logistics & tips
- Walking distances: most sites 5–25 min apart; Galata → Karaköy ≈10–15 min.  
- Tickets: reserve timed entry for Museum of Innocence and Istanbul Modern when possible.  
- Visit length: 45–90 min per small/mid museum; 60–150 min for larger museums.  
- Accessibility: historic buildings may have limited elevators—check ahead.  
- Combine: pair visits with coffee in Çukurcuma or a short Bosphorus ferry from Karaköy.

Tell me how much time you have (2 hrs / half‑day / full day) and I’ll give a prioritized walking order with exact timings.",202,85,61,80,82,76,5%,0,0%
Advertiser,"I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30.""","Product: Voltive — clean-focus energy drink (natural caffeine + L‑theanine, low sugar). Age 18+ compliance required.

Target audience
Primary: Young adults 18–30 (students, early-career pros, creators, gamers).
Segments: Campus Hustlers (18–22), Young Pros/Creators (23–30), Gamers & Streamers (18–30).
Core positioning & proof
Core message: “Sustained focus. No crash.”
Proof points: natural caffeine + L‑theanine, low sugar, transparent labeling, electrolyte/B‑vitamin support.
Emotional hook: power your best work/play without the aftershock.
Slogans & hashtags
Main: “Voltive — Focus That Lasts.”
Variants: “Do More. Crash Less.” / “Charge Your Focus.”
Hashtags: #VoltiveFocus, #CrashLess
Creative direction (short)
Tone: authentic, energetic, slightly irreverent.
Visuals: quick pre/post-sip shift, real people in real environments (dorm, coworking, stream).
Sound: upbeat, snap transition on sip.
Sample creative copy
15s short video script:
0–3s distractions montage → 3s sip → 3–15s focused flow montage + product shot + CTA.
On-screen text: “Need focus that actually lasts? Voltive.” CTA: “Scan to try / Link in bio.”
IG caption: “Crash-free focus for whatever you’re building. 20% off first order. #VoltiveFocus”
Media channels & rationale
Priority: TikTok + Instagram Reels (reach & native formats).
Streaming: Twitch sponsorships, YouTube pre-roll (gamers & creators).
Influencers: Micro (10–100k) + mid-tier (100k–1M) across study-tok, fitness, gaming.
Sampling/experiential: campus pop-ups, study nights, co-working kiosks.
Paid: Meta & Snap prospecting, search for purchase intent.
Audio: Spotify study/work playlists.
Retail/POPS: C-stores, campus retailers, vending.
OOH (selective): DOOH near campuses and gyms.
Media mix (starter)
Short-form social: 45%
Influencers & creator: 20%
Sampling/experiential: 15%
Video/Streaming: 10%
Paid search & direct response: 5%
OOH/local DSP: 5%
Launch timeline (8 weeks)
Weeks 1–2: Creative + landing page + compliance check + influencer outreach.
Weeks 3–4: Teaser UGC seeding + pre-sampling signups.
Week 5 (Launch): Paid bursts, campus sampling in 3 pilot sites, influencer posts.
Weeks 6–8: Retargeting, measurement, expand sampling, optimize creatives.
Budget bands (high-level)
Regional pilot (1 city + 3 campuses): $40k–80k
Multi-city pilot: $150k–300k
National roll: $800k–1.5M+
KPIs & measurement
Awareness: reach, video completion rate, impressions.
Trial: sampler redemptions, promo code uses.
Conversion: online purchase rate, in-store sell-through.
Retention: repeat purchase rate at 30/60 days.
Efficiency: CAC, ROAS, CPM, cost per trial.
Activation checklist (first 30 days)
Finalize formula & labeling (caffeine mg per serving).
Produce 15s/30s assets + static ads.
Build landing page + promo code + analytics.
Recruit 10 campus ambassadors + 20 micro-influencers.
Book sampling logistics for 3 pilot campuses.
Set up paid social targeting & tracking pixels.
Quick influencer outreach template
Short pitch: product benefits + ask (15s video + 1 story) + sample + code/rev-share. Include creative brief, deliverables, timeline, compliance notes (18+).
Next step: choose a budget tier and I’ll produce a 4-week paid media schedule, creative shot list, and an influencer brief tailored to that budget.",412,92,57,69,72,73,71,0,71
Advertiser,"I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30.""","Product name: Voltive (example) — clean, crash‑free energy drink for young adults.

Target audience

Age 18–30. Primary: college students (18–24), early‑career professionals & creators (22–30), gamers/streamers (18–30).
Psychographics: time‑pressed, digitally native, value authenticity, prefer low‑sugar/clean ingredients.
Core positioning

Promise: “Sustained focus. No crash.”
Differentiator: natural caffeine + L‑theanine blend, low/zero sugar, clear labeling, mild electrolytes for hydration.
Key messages & proof points

Headline: Focus That Lasts.
Supporting: Fast, calm focus (caffeine + L‑theanine); low sugar; transparently dosed; functional for study, work, play.
Emotional hook: Do more without the crash.
Slogans / tags

Primary: “Voltive — Focus That Lasts.”
Variants: “Charge Your Focus.” / “Do More. Crash Less.”
Hashtags: #VoltiveFocus, #CrashLess
Media channels (priority order)

Short‑form video: TikTok, Instagram Reels — hero channel for reach and UGC.
Streaming video & gaming: YouTube pre‑roll, Twitch sponsorships — reach creators & gamers.
Influencers: Micro + mid tier across study, fitness, gaming, lifestyle.
Campus sampling & pop‑ups: high trial and social content generation.
Paid social & search: Meta, Snapchat, Google for acquisition.
Audio: Spotify study/work playlists.
Retail & POS: campus stores, convenience, vending machines.
Selective OOH near campuses/coworking hubs.
Creative concepts (fast execution)

15s short: quick distraction montage → sip → instant calm focus montage; on‑screen claim + QR/CTA.
Streamer integration: “Focus test” mid‑stream with promo code and product giveaway.
Study night pop‑up: branded quiet zones, free samples, instant social content station.
Influencer activation

Mix: 60% micro (10–100k) for authenticity, 40% mid (100k–1M) for reach.
Deliverables: 1 × 15s native video, 1 × story, trackable code/link, 2–4 product seeding reviews/UGC.
Compensation: product + fee or rev share based on performance.
Sampling & experiential

Campus “Study Sprints” during midterms: branded tents, free cans, QR to landing page + discount.
College ambassador program: paid student reps for street sampling + UGC.
Launch timeline (8 weeks)

Weeks 1–2: Creative, landing page, compliance checks, influencer outreach.
Weeks 3–4: Teasers + seeding, campus ambassador onboarding.
Week 5 (Launch): Paid social burst, influencer content go‑live, campus sampling pilot.
Weeks 6–8: Scale sampling, retargeting, measurement & iterate.
Budget bands (guideline)

Local pilot (1–2 cities + campuses): $40k–80k.
Regional rollout: $100k–250k.
National launch: $500k+.
(Allocate ~45% creative & paid social, 20% influencers, 20% sampling/experiential, remainder production/measurement.)
KPIs & measurement

Trial: sample redemption rate, first‑time purchases.
Acquisition: CAC, conversion rate on landing page.
Engagement: video view‑through, social UGC volume, hashtag reach.
Retention: repeat purchase rate, subscription signups.
ROI cadence: weekly for paid/social; post‑event for sampling.
Compliance & legal

Age gating where required, transparent caffeine/ingredient labeling, claims backed by ingredient science, follow platform ad rules for supplements/beverages.
Quick first deliverable suggestions

15s TikTok script and shot list.
Landing page with QR + first‑time purchase discount.
50 campus sampling kits + ambassador brief.
If you want, I’ll produce: 1) a 15s ad storyboard, 2) influencer outreach DM template, or 3) a one‑page landing page copy — pick one.

",439,79,48,64,82,65,37,0,0
Advertiser,"I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30.""","Below is a concise, ready-to-run advertising campaign for a new energy drink targeting young adults 18–30.

Product snapshot

Name: Voltive (example)
USP: Natural caffeine + L‑theanine for sustained focus, low/zero sugar, transparent labeling, light electrolytes.
Tone: Bold, authentic, playful confidence.
Target audience & segments

Primary: Young adults 18–30 who need focused energy — students, early-career professionals, creators, gamers.
Segments:
Campus Hustlers (18–22): late-night study, exam prep.
Young Pros / Creators (23–30): productivity, content creation.
Gamers & Streamers (18–30): sustained focus, community moments.
Core messages

Core: “Sustained focus. No crash.”
Supporting: “Natural caffeine + L‑theanine for calm focus,” “Low sugar. Transparent label,” “Power your best without the aftershock.”
Slogans / hashtags

Primary: “Voltive — Focus That Lasts.”
Alternatives: “Charge Your Focus.” / “Do More. Crash Less.”
Hashtags: #VoltiveFocus, #CrashLess
Media channels & rationale

Short-form social: TikTok, Instagram Reels — highest reach & native format for 18–30.
Video & streaming: YouTube pre-roll, Twitch sponsorships — reach creators/gamers.
Influencers: Micro + mid-tier across study-tok, fitness, gaming, lifestyle.
On-campus & experiential: sampling, pop-ups, study lounges.
Paid social & search: Meta ads, Snapchat, Google Search for acquisition.
Audio: Spotify (study/work playlists).
Retail/POPS: convenience stores, campus kiosks, vending trial.
Selective OOH: near colleges, coworking hubs, gyms.
Creative concept (hero)

15s: Quick chaotic context → sip Voltive → instant calm focus montage (studying, creating, gaming). End frame: product + tagline + QR/CTA.
Sample creative copy & scripts

15s TikTok/Reel (script):
0–3s: Overloaded desk, notifications, yawns.
3–5s: Close-up: Voltive can, sip.
5–13s: Fast-cut scenes: focused typing, crisp edits, clutch gaming moment.
13–15s: On-screen: “Voltive — Focus That Lasts.” CTA: “Scan to claim 20% student discount.”
Twitch integration: Host takes “Voltive focus break” on stream, shows product, runs viewer discount code.
Influencer brief (short)

Deliverables: 15s feed video + 1 story + swipe-up link or pinned comment with unique code.
Key lines: “Voltive helps me lock in without crashing—use CODE: VOLTIVE15 for 15%.”
Compensation: product + fee or rev-share; measure via unique code/affiliate link.
Activation timeline (8 weeks)

Wk1–2: Creative production, landing page, tracking setup, influencer onboarding.
Wk3–4: Teaser UGC & campus ambassador seeding.
Wk5 (Launch): Paid social burst, YouTube/Twitch ads, campus pop-ups, influencer posts go live.
Wk6–8: Retargeting, expand sampling, performance optimization.
Budget tiers (high-level)

Regional pilot (1 city + campus): $40k–80k
National pilot (multi-city): $200k–400k
Example allocation (for $100k): Creative & production 20%, Social media buy 45%, Influencers 20%, Sampling/events 10%, Measurement 5%.
KPIs & measurement

Awareness: impressions, ad recall lift
Engagement: video completion rate, engagement rate, reach
Acquisition: click-through rate, landing page conversion, trial/sample redemption
ROI: CPA, CAC, repeat purchase rate (30-day retention)
Tools: UTMs, promo codes, Facebook pixel/GA4, influencer tracking links, short post-sampling surveys
Additional activations

Campus ambassador program with weekly challenges & rewards
Student discount + limited-time launch flavors
Twitch tournament sponsorship with co-branded overlays
PR: launch story to college press & lifestyle outlets
Retail trial packs & QR-coded shelf displays for instant purchase
Quick next steps (first 2 weeks)

Finalize product claims & legal copy for label/ads.
Build landing page with UTM tracking and coupon engine.
Produce 3 hero videos (15s, 30s, 6s) + product photography.
Line up 10 micro-influencers and 3 campus partners for sampling.
If you want, I can: provide the 15s storyboard as a frame-by-frame shot list, draft the influencer outreach template, or propose a 4-week media schedule with daily spend — tell me which.",518,79,52,67,83,68,85,1,4
Advertiser,"I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30.""","Below is a concise, actionable advertising campaign blueprint for a new energy drink targeting young adults 18–30.

Product overview

Name (example): Voltive
USP: Clean, sustained focus — natural caffeine + L‑theanine, low sugar, B‑vitamins, no crash.
Tone: Confident, authentic, slightly irreverent.
Target audience

Primary: 18–30 — college students, early-career professionals, creators, and gamers.
Segments:
Campus Hustlers (18–22): late-night study, social trial.
Young Pros & Creators (23–30): productivity, healthy ingredients, brand values.
Gamers & Streamers (18–30): sustained focus, community-driven content.
Positioning & key messages

Core position: “Sustained focus. No crash.”
Key messages:
Natural caffeine + L‑theanine = focused energy without jitter.
Low/zero sugar and transparent labeling.
Designed for work, play, and creative flow.
Proof points: ingredient callouts, lab testing, user testimonials.
Primary slogans & hashtags

Taglines:
“Voltive — Focus That Lasts.”
“Do More. Crash Less.”
“Charge Your Focus.”
Hashtags: #VoltiveFocus, #CrashLess
Media channels & tactics

Priority: Short-form social (TikTok, Instagram Reels) — product demos, transitions, micro-challenges.
Influencer partnerships: Micro + mid-tier creators in study, fitness, gaming, creator niches. Deliverables: 15s video + story + trackable code.
Streaming & video: YouTube pre-roll, Twitch sponsorships (branded streams, overlays).
Sampling & experiential: Campus pop-ups, study-night sponsorships, gaming LAN events, free sample kiosks.
Paid social & search: Meta, Snapchat, TikTok UGC ads, performance landing pages.
Audio: Spotify study/work playlists and sponsored spots.
Retail POS & vending: convenience stores, campus kiosks, co-branded fridge displays.
Local DOOH near campuses/coworking hubs (selective).
Creative direction

15s core creative: distraction → sip → instant transition to focus (snap visual), upbeat sound, on-screen claim + CTA (scan QR / link in bio).
UGC-first: encourage real-user “before/after” clips with duet/stitch mechanics.
Clear ingredient/serving callout in all paid creative.
Sample 15s script (for TikTok/Reel)

0–3s: Chaos: notifications, cluttered desk.
3–6s: Close-up sip of Voltive; sync sound snap.
6–13s: Person focused: studying, editing, gaming clutch.
13–15s: End card: “Voltive — Focus That Lasts” + QR/CTA.
Launch roadmap (8 weeks)

Weeks 1–2: Finalize recipe labeling, creative shoot, landing page, influencer onboarding.
Weeks 3–4: Seed UGC, campus ambassador sign-ups, teaser social.
Week 5 (Launch): Paid social spikes, influencer posts, sampling events at 3 pilot campuses, YouTube/Twitch activations.
Weeks 6–8: Retargeting, expand sampling, optimize creatives by cohort.
KPIs & measurement

Awareness: impressions, reach, hashtag mentions.
Engagement: view-through rate, CTR, engagement rate on short-form content.
Conversion: sample redemption rate, first-purchase rate, promo-code sales.
Retention: repeat purchase / subscription sign-ups, LTV.
Target benchmarks (initial): CTR 1–2% on socials, view-through 40–60% for 15s creatives, sampling conversion 8–15%.
Budget (example allocations)

Small regional pilot ($50k): Creative & production $8k, Social media buys $22k, Influencers $10k, Sampling/events $8k, Measurement/contingency $2k.
Scalable national ($250k+): scale same line items with higher influencer tiers, broader sampling, and programmatic video.
Additional recommendations

Regulatory: Label caffeine per serving and comply with local ad rules for stimulants.
Trials: Offer low-friction trial (free sample + QR to subscribe) to capture email/phone for retargeting.
Partnerships: Co-promote with study apps, coworking spaces, esports teams.
Test matrix: creative format (15s vs 6s), call-to-action (QR vs link), audience segment (students vs pros).
Deliverables to request next

Product packaging assets + ingredient copy.
3 x 15s creative storyboards.
10 influencer targets and outreach template.
Landing page / subscription flow wireframe.
If you want, I can produce: 3 storyboard sketches for 15s ads, a short influencer outreach template, or a suggested media-buy schedule for a $50k pilot. Which deliverable first?",524,82,54,68,83,69,57,0,0
Advertiser,"I want you to act as an advertiser. You will create a campaign to promote a product or service of your choice. You will choose a target audience, develop key messages and slogans, select the media channels for promotion, and decide on any additional activities needed to reach your goals. My first suggestion request is ""I need help creating an advertising campaign for a new type of energy drink targeting young adults aged 18-30.""","Product: Voltive — a clean, low‑sugar energy drink with natural caffeine + L‑theanine for sustained focus without the crash.

Target audience

Primary: Young adults 18–30 (students, early‑career professionals, creators, gamers).
Key segments: Campus Hustlers (18–22), Young Pros & Creators (23–30), Gamers & Streamers (18–30).
Positioning & USP

""Sustained focus. No crash."" — natural caffeine + L‑theanine, low sugar, B‑vitamins, transparent labeling.
Benefit ladder: functional (focus & endurance) → emotional (confidence to perform) → social (belongs to productive, creative culture).
Core messages

Headline: Focus that lasts — no crash.
Supporting lines: Clean energy for deep work. Sip. Lock in. Do more.
Proof points: Natural caffeine + L‑theanine formula; low sugar; lab‑tested serving; targeted use occasions (study, work, gaming, workouts).
Slogans & tags

Primary: ""Voltive — Focus That Lasts.""
Short variants: ""Charge Your Focus."" / ""Do More. Crash Less.""
Social hashtag: #VoltiveFocus (secondary: #CrashLess)
Creative concepts (short-form first)

15s: Distraction → sip → instant calm focus montage (study, edit, game), punchy sound snap.
6–10s verticals: single‑moment transitions for TikTok/Reels.
Long form: 30s story of a creator finishing a passion project fueled by Voltive + testimonial overlays.
Tone: authentic, slightly irreverent, visually fast cuts, bright palette.
Media channels & tactics

Priority: TikTok & Instagram Reels (UGC + paid Spark Ads).
Video streamers: YouTube pre‑roll, Twitch sponsorships for gamers.
Influencers: Mix of micro (10–100k) for authenticity and mid (100k–1M) for reach; product + trackable promo codes.
Sampling & experiential: campus pop‑ups, study nights, gaming lounges, vending/testing kiosks.
Paid social & search: Meta campaigns for acquisition; Google for product/brand queries.
Audio: Spotify playlists for study/work modes (targeted ads).
Retail: POS displays in convenience stores, campus stores, co‑branded fridges in gyms/coffee shops.
Activation timeline (8 weeks)

Wk1–2: Creative assets, landing page, compliance & labeling, influencer/outreach onboarding.
Wk3–4: Teaser UGC seeding, campus ambassador signups, pre‑launch giveaways.
Wk5 (Launch): Paid social burst, influencer wave, sampling events in 3 pilot campuses, Twitch/YouTube buys go live.
Wk6–8: Retargeting, scale best performers, expand sampling, measure and optimize.
Measurement & KPIs

Awareness: video views, reach, CPM.
Engagement: view-through rate (VTR), likes, shares, hashtag uses.
Consideration: landing page CTR, promo code redemptions, trial sign‑ups.
Conversion: trial purchase rate, repeat purchase within 30 days.
ROI: CAC, LTV, retail sell‑through.
Budget guidance (regional pilot)

$50k–$100k: creative + paid short‑form (45%), influencers (20%), sampling/events (20%), production (10%), measurement/contingency (5%).
Compliance & risk notes

Age‑gated messaging (18+), clear caffeine content and health disclaimers, follow platform ad policies for supplements/energy products.
Next steps (recommended)

Finalize formula & packaging claims with legal.
Produce 3 hero 15s videos + 8–12 vertical UGC briefs.
Run 2‑campus pilot sampling + influencer wave to validate creative.
Iterate creative & scale to 10+ cities based on KPIs.
If you want, I can: draft the 15s script, write influencer outreach copy, or build a 8‑week Gantt with deliverables. Which next?",433,85,51,67,82,69,54,0,0
Salesperson,"I want you to act as a salesperson. Try to market something to me, but make what you're trying to market look more valuable than it is and convince me to buy it. Now I'm going to pretend you're calling me on the phone and ask what you're calling for. Hello, what did you call for?","Hello — I’m calling about FocusFlow Premium, an AI productivity planner that helps you reclaim up to an hour a day by turning your to‑do list into a prioritized, distraction‑free schedule.

- Auto-prioritizes tasks and builds focused work blocks  
- Syncs with your calendar and apps in under 2 minutes  
- Smart nudges and weekly insights so you actually finish high‑impact work  
- Limited-time 14‑day free trial + introductory pricing for early sign-ups

Want me to activate your free trial now so you can see results tomorrow?",81,97,57,89,93,82,0,0,0
Salesperson,"I want you to act as a salesperson. Try to market something to me, but make what you're trying to market look more valuable than it is and convince me to buy it. Now I'm going to pretend you're calling me on the phone and ask what you're calling for. Hello, what did you call for?","Hi — I’m calling about RoadReady Premium, a smart route‑planning subscription that gives you live alternate routes during rush hour, instant incident alerts, offline maps, and a reliability score so you pick the route that actually gets you there on time. It reduces commute uncertainty, surfaces less‑congested options, and bundles everything in one simple app.

Right now we’re offering a 30‑day free trial, 25% off the first year, and a money‑back guarantee — no risk to try it. Do you have 60 seconds so I can show how it might improve your daily route?",92,95,55,86,95,80,0,0,0
Salesperson,"I want you to act as a salesperson. Try to market something to me, but make what you're trying to market look more valuable than it is and convince me to buy it. Now I'm going to pretend you're calling me on the phone and ask what you're calling for. Hello, what did you call for?","Hi — I’m calling about RoadReady Premium, our smart commute optimizer. It bundles live alternate‑route suggestions during rush hour, proactive incident alerts, offline maps, and a “reliability score” so you can pick the route that actually gets you there with less stress.

Think of it as a personal traffic assistant that turns uncertain commutes into predictable ones — fewer late arrivals, less time spent stuck, and cleaner decisions on the fly. We’re running a 30‑day free trial plus 25% off the first year and a money‑back guarantee, so it’s risk‑free to try.

Do you have 60 seconds so I can show how it would help your daily route?",106,95,97,86,96,93,0,0,0
